iter	Logloss
0	0.5119443976
1	0.4137451267
2	0.3531862521
3	0.3114511761
4	0.285844065
5	0.2741841436
6	0.2644282382
7	0.2546698049
8	0.2413050962
9	0.2371028683
10	0.2321923846
11	0.2288791526
12	0.2259746977
13	0.2240015076
14	0.2228455269
15	0.2220351157
16	0.2196862123
17	0.2176371671
18	0.2157111315
19	0.2140074512
20	0.2119239099
21	0.2110430158
22	0.2102256033
23	0.2097938294
24	0.2091636553
25	0.2078829493
26	0.2069456558
27	0.2059262609
28	0.2055438807
29	0.2047640273
30	0.204251628
31	0.2019853702
32	0.2012156198
33	0.2003740468
34	0.1994602984
35	0.1990102416
36	0.1983246587
37	0.1979663547
38	0.1974240075
39	0.1970354872
40	0.1966751462
41	0.1964003626
42	0.1959759702
43	0.195285728
44	0.1949324375
45	0.1946074818
46	0.1943986969
47	0.1938376807
48	0.1933580255
49	0.1931674354
50	0.1925806366
51	0.1922771743
52	0.19094693
53	0.1903315265
54	0.189856315
55	0.1895242313
56	0.1892341952
57	0.1889413425
58	0.1882195706
59	0.1877183635
60	0.1871456013
61	0.186719946
62	0.1864436864
63	0.1854993514
64	0.1852251788
65	0.1848201049
66	0.1845413173
67	0.1835609945
68	0.1831514821
69	0.1828884478
70	0.1823470041
71	0.1820952873
72	0.1815571805
73	0.1807844241
74	0.1804581815
75	0.1802199008
76	0.1799442283
77	0.179659838
78	0.179139368
79	0.1790172023
80	0.1786970912
81	0.178397859
82	0.1775825144
83	0.177389016
84	0.1769769549
85	0.1767802015
86	0.1761402761
87	0.1756945635
88	0.1751676882
89	0.1749158544
90	0.1744989612
91	0.1738571439
92	0.1731996772
93	0.1728929082
94	0.1725640157
95	0.1719587433
96	0.1716345772
97	0.1712915041
98	0.1706716428
99	0.1704246891
100	0.1699643051
101	0.169841566
102	0.1696679985
103	0.1694021887
104	0.1690439743
105	0.168879195
106	0.1686745156
107	0.1684615011
108	0.1679354839
109	0.1673544853
110	0.1670128943
111	0.1665022978
112	0.1661448354
113	0.1659236033
114	0.1656864452
115	0.1654192759
116	0.1650032727
117	0.1647411441
118	0.1644051793
119	0.1641013355
120	0.1638668014
121	0.1636553485
122	0.1633780947
123	0.1629916637
124	0.1627434159
125	0.1625811373
126	0.1622958485
127	0.162076284
128	0.1619735713
129	0.1615773399
130	0.1613238834
131	0.1611292063
132	0.1607375163
133	0.1605357241
134	0.1604804343
135	0.1601649005
136	0.1599495573
137	0.1595675069
138	0.1591545154
139	0.1589503726
140	0.1586954805
141	0.1582828381
142	0.1579494597
143	0.1575996261
144	0.1572838744
145	0.1570091178
146	0.1567324611
147	0.1566446647
148	0.1564524172
149	0.1562460464
150	0.1560254318
151	0.1557968658
152	0.1555198123
153	0.1552193025
154	0.1550493713
155	0.1549272755
156	0.1546375646
157	0.15445452
158	0.1542612248
159	0.1539982627
160	0.1538296642
161	0.1535871397
162	0.1532421037
163	0.1530999474
164	0.1529007294
165	0.1527246514
166	0.1525153502
167	0.1521543191
168	0.1519267411
169	0.1516579029
170	0.1515344706
171	0.1513020908
172	0.1510545375
173	0.1508595946
174	0.1507476654
175	0.1505272223
176	0.1502780992
177	0.1500211832
178	0.1498262229
179	0.1496717464
180	0.1495249047
181	0.1494058023
182	0.1492120377
183	0.1490004987
184	0.1486425312
185	0.1483897801
186	0.148105324
187	0.1479506342
188	0.147775825
189	0.1474729802
190	0.1473610817
191	0.1471908217
192	0.14700889
193	0.146819802
194	0.1465766961
195	0.1464414107
196	0.1462525184
197	0.1459324084
198	0.1457699444
199	0.1456954702
